page_id,working_title,slug,page_type,primary_cluster_id,primary_keyword,country_focus,search_intent,funnel_role,priority,dependencies,status,notes
P001,How I Aim for 100g of Protein Without Tracking Every Meal,/100g-protein-without-tracking/,pillar,C01;C02,how to get 100g of protein a day,Indian women in US and India; secondary US,informational,discovery,high,C02 positioning validation,published,Dedicated guide published; exact brands and family-dinner framework; selected US cluster volume 7420; representative KD 38
P002,High-Protein Vegetarian Meal Plan: A Repeatable 100g Day,/high-protein-vegetarian-meal-plan/,meal plan,C03,high protein vegetarian meal plan,Indian women in US and India; secondary US,informational,implementation,high,None,published,Published 2026-09-01; Volume 320 KD 23; selected US cluster volume 890
P003,100g Protein Indian Diet: A Repeatable Vegetarian and Eggetarian Plan,/100g-protein-indian-diet/,meal plan,C01;C03;C04,100g protein diet,India and Indian women in US,informational,implementation,high,None,published,Published 2026-09-04; Volume 480 KD 27; paneer chilla soy vegetable rice strained-yogurt raita and eggetarian track
P004,High-Protein Vegetarian Breakfasts to Repeat All Week,/high-protein-vegetarian-breakfast/,supporting guide,C05,high protein vegetarian breakfast,US and India,informational,discovery,high,C05 validation,research_pending,Limit choices and supply exact nutrition
P005,High-Protein Vegetarian Lunches for Work and Meal Prep,/high-protein-vegetarian-lunch/,supporting guide,C06,high protein vegetarian lunch,US and India,informational,discovery,high,C06 validation,research_pending,Include tiffin and office-friendly options where relevant
P006,Build Your Repeatable Protein Day,/protein-day-planner/,interactive tool,C01;C02,protein meal planner,Global,informational,conversion,high,Meal database and target logic,research_pending,Calculate breakfast plus lunch once and leave a flexible dinner target
P007,Is It Healthy to Eat the Same Breakfast and Lunch Every Day?,/same-breakfast-and-lunch-every-day/,supporting guide,C08,eating the same breakfast every day,Global,informational,trust,medium,C08 validation and expert review,research_pending,Cover variety across the week and nutritional adequacy
P008,30-Minute Strength Training Three Times a Week,/30-minute-strength-workout-3-days-a-week/,supporting guide,C09,30 minute strength workout 3 days a week,Global,informational,adjacent discovery,low,C09 validation and qualified review,research_pending,Publish only after the core nutrition cluster is established
P009,Protein per 100g of Vegetarian Foods,/protein-per-100g-vegetarian-foods/,reference hub,C10,paneer protein per 100g,India,informational,discovery,high,Reliable food composition data and page template,keyword_validated,Hub for individual paneer soya tofu pulses oats peanuts and curd pages; selected volume 185900
P010,High-Protein Indian Vegetarian Breakfasts for Busy Women,/high-protein-indian-vegetarian-breakfast/,supporting guide,C05,high protein Indian vegetarian breakfast,India and Indian women in US,informational,discovery,high,C05 India validation,research_pending,Use grams and household measures; include US ingredient substitutions
P011,High-Protein Indian Lunch and Tiffin Ideas for Work,/high-protein-indian-lunch-for-work/,supporting guide,C06,high protein Indian lunch,India and Indian women in US,informational,discovery,high,C06 India validation,research_pending,Repeatable office and tiffin options with batch prep
P012,100g Protein Indian Vegetarian Meal Plan for Women,/100g-protein-indian-vegetarian-meal-plan-for-women/,meal plan,C01;C03;C04,100g protein Indian vegetarian diet,India and Indian women in US,informational,implementation,low,P003,consolidated,Intent covered by P003 to avoid keyword cannibalization
P013,Indian Grocery List for a Repeatable High-Protein Week,/indian-high-protein-grocery-list/,supporting guide,C03;C05;C06,high protein vegetarian grocery list,India and Indian women in US,informational,implementation,medium,P010 and P011,research_pending,Separate India and US store or brand alternatives
